trial,examine,finalist,sla,depl_cat,depl_5th_ptile,depl_median,landing_median
GP08B,TRUE,TRUE,2,final,0.364,0.482,1.49
GP09A,TRUE,,2,final,0.932,0.955,1.9
GP09B,TRUE,TRUE,2,final,0.79,0.854,2.13
GP10A,TRUE,TRUE,2,final,0.825,0.841,1.38
GP10B,TRUE,TRUE,2,final,0.556,0.619,1.42
GP11A,,,2,final,0.87,0.884,3.05
GP11B,,,2,final,0.678,0.716,3.24
GP12A,,,2,final,0.88,0.899,0.71
GP12B,,,2,final,0.705,0.747,0.77
GP13A,,,2,final,0.877,0.892,1.62
GP13B,,,2,final,0.699,0.741,1.78
GP13C,TRUE,TRUE,2,final,0.442,0.52,1.59
GP14A,,,2,final,0.875,0.888,1.82
GP14B,,,2,final,0.678,0.72,1.97
GI01A,,,2,final,0.875,0.888,1.82
GI01B,,,2,final,0.678,0.72,1.97
GI01C,TRUE,TRUE,2,final,0.434,0.497,1.64
GI01D,,,2,final,0.691,0.725,2.07
GI02A,,,2,final,0.873,0.891,1.78
GI02B,TRUE,TRUE,2,final,0.631,0.685,1.89
GI02D,,,2,final,0.652,0.702,1.98
GI03A,,,2,final,0.872,0.89,1.77
GI03B,,,2,final,0.663,0.706,1.95
GI04A,,,2,final,0.873,0.886,1.65
GI04B,,,2,final,0.709,0.741,2.09
GI05A,,,2,final,0.87,0.885,1.6
GI05B,,,2,final,0.733,0.764,2.06
GB01A,,,2,rescaled,0.884,0.895,1.63
GB01B,,,2,rescaled,0.702,0.745,1.84
GB01C,TRUE,TRUE,2,rescaled,0.352,0.414,1.98
GB01D,,,2,rescaled,0.707,0.749,1.8
GB02A,,,2,rescaled,0.884,0.896,1.62
GB02B,TRUE,TRUE,2,rescaled,0.662,0.705,1.9
GB02D,,,2,rescaled,0.681,0.715,1.96
GB03A,,,2,rescaled,0.879,0.898,1.63
GB03B,,,2,rescaled,0.696,0.728,1.85
GB04A,,,2,rescaled,0.881,0.896,1.69
GB04B,,,2,rescaled,0.731,0.77,1.85
GB05A,,,2,rescaled,0.879,0.894,1.68
GB05B,,,2,rescaled,0.759,0.786,1.85
GB06A,,,2,rescaled,0.874,0.888,1.61
GB06B,,,2,rescaled,0.694,0.729,1.83
GB07A,,,2,rescaled,0.696,0.916,1.73
GB07B,,,2,rescaled,0.761,0.821,2
GB08A,TRUE,,2,rescaled,0.859,0.874,1.53
GB08B,TRUE,TRUE,2,rescaled,0.56,0.656,1.49
GB09A,TRUE,,2,rescaled,0.705,0.907,1.78
GB09B,TRUE,TRUE,2,rescaled,0.743,0.793,2.14
GB10A,TRUE,TRUE,2,rescaled,0.837,0.85,1.32
GB10B,TRUE,TRUE,2,rescaled,0.576,0.635,1.38
GB11A,,,2,rescaled,0.873,0.888,2.93
GB11B,,,2,rescaled,0.696,0.73,3.23
GB12A,,,2,rescaled,0.885,0.902,0.66
GB12B,,,2,rescaled,0.727,0.759,0.77
GP01A,,,2,rescaled,0.878,0.894,1.75
GP01B,,,2,rescaled,0.685,0.734,1.88
GP01C,TRUE,TRUE,2,rescaled,0.46,0.528,1.57
GP01D,,,2,rescaled,0.686,0.734,1.95
GP02A,,,2,rescaled,0.88,0.894,1.61
GP02B,TRUE,TRUE,2,rescaled,0.635,0.684,1.9
GP02C,,TRUE,2,rescaled,0.334,0.372,1.31
GP02D,,,2,rescaled,0.663,0.711,1.83
GP03A,,,2,rescaled,0.879,0.892,1.69
GP03B,,,2,rescaled,0.666,0.71,1.9
GP04A,,,2,rescaled,0.878,0.892,1.57
GP04B,,,2,rescaled,0.72,0.753,2.07
GP05B,,,2,rescaled,0.744,0.771,1.95
GP06A,,,2,rescaled,0.872,0.886,1.74
GP06B,,,2,rescaled,0.671,0.719,1.88
GP07A,,,2,rescaled,0.765,0.916,1.84
GP07B,,,2,rescaled,0.752,0.81,2
GP08A,TRUE,,2,rescaled,0.844,0.87,1.61
GP08B,TRUE,TRUE,2,rescaled,0.528,0.635,1.49
GP09A,TRUE,,2,rescaled,0.735,0.904,1.9
GP09B,TRUE,TRUE,2,rescaled,0.741,0.784,2.13
GP10A,TRUE,TRUE,2,rescaled,0.827,0.843,1.38
GP10B,TRUE,TRUE,2,rescaled,0.557,0.621,1.42
GP11A,,,2,rescaled,0.87,0.885,3.05
GP11B,,,2,rescaled,0.679,0.718,3.24
